jobtitle,company,city,state,industry,skilltag,Hadoop,Spark,R,SAS,Stata,Java,Perl,Python,SQL,NoSQL,Tableau,Excel,Machine Learning,Amazon Web Service
Data Scientist,National Security Agency,Fort Meade,MD,"Cybersecurity, Federal Agencies, Signals Analysis","machine-learning, r, unity3d",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior DevOps Engineer K8s | Data Science Platform,Contiamo,Berlin,Germany,"B2B, Data & Analytics, Data Science","docker, kubernetes, rancher, go, ansible",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IT Specialist - Forensic Examiner (Collegiate Hiring),Federal Bureau of Investigation (FBI),Washington,DC,"Cybersecurity, Federal Agencies, Law Enforcement","computer-science, bigdata, data-science, cloud, database",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Senior Data Scientist,FindHotel,Amsterdam,Netherlands,"Data Analysis, Digital Marketing, Online Travel","scala, python, data-science, amazon-web-services, apache-spark",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SQL Data Analyst,Detroit Trading Company,Birmingham,MI,51-200 people,"sql, excel, pivot-table, r",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
Data Scientist (e-Commerce/ Machine Learning/ Python/ Zalon),Zalando SE,Berlin,Germany,eCommerce,"data-science, algorithms, python, machine-learn, scala",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior Data Scientist - Machine Learning Expert (m/f),MYTOYS GROUP,Berlin,Germany,E-Commerce,"r, machine-learning, python",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Sr Software Engineer (Data Science),T. Rowe Price,Baltimore,MD,Financial Services,"java, python, r, data-science, amazon-web-services",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
Lead Data Scientist,Careem,Berlin,Germany,"Software Development / Engineering, Transportation","machine-learning, statistics, fraud-prevention, algorithm",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Data Science Engineer, Systems",MZ,Palo Alto,CA,"Digital Marketing, Gaming, Internet of Things","r, scala, java, apache-spark",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Washington D.C Data Science Bootcamp Mentor,Thinkful Inc.,Washington,DC,"Online Education, Web Development","design, javascript, reactjs, node.js",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
"Data Analyst - SQL, R",K-LOVE& Air1 Christian Radio,Rocklin,CA,"Broadcast, Media, Non-Profit","tableau, sql, r, javascript, tsql",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
Data Science Engineer,Gogo,Chicago,IL,"Aerospace, Aviation, Telecommunications","apache-spark, java, scala, python, amazon-kinesis",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Scientist / Machine Learning Expert - Agoda,Big Wednesday Digital,Bangkok,Thailand,NA,"scala, nlp, java, r, metlab",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Senior Data Scientist => Paid Relocation to Amsterdam <=,Booking.com,Amsterdam,Netherlands,"E-Commerce, Internet Marketing, Travel & Tourism","r, machine-learning, python, sql",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Scientist,Grindr,West Hollywood,CA,"Big Data, Social Media, Software Development","r, sql, data, python, postgresql",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
"Senior Data Science Engineer, Infrastructure",AdRoll,San Francisco,CA,"Ad Tech, Digital Marketing","c++, java, machine-learning",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Scientist (m/f) | Hamburg,Kreditech,Hamburg,Germany,Financial Technology,"java, sql, nosql",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE
Data Scientist with strong interest in financial markets,A Priori Investment Management,New York,NY,"Data Science, Finance, Market Research","java, c++, python, machine-learning",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Head of Data Science,OfferUp,Bellevue,WA,"Mobile Application, Software Development, Software Development / Engineering","machine-learning, r, python, java",FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
Data Analyst,Jane.com,Lehi,UT,Retail Industry,"r, sql, statistics, experimental-design, machine-learning",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE
Data Analyst - Finance,VerticalScope Inc.,ON,Canada,Digital Media,"remote, toronto",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Data Analyst in Product Management,Secret Sauce Partners,Budapest,Hungary,11-50 people,"r, python, sql, amazon-redshift",FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
